"All Employer-Insured Plans, Drug Claims Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marketscan Continuance Table, 2009 Continuously Enrolled Beneficiaries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up To,Number of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Chronic Maintenance,Avg. Chronic Maintenance Prescriptions,Unclassified,Avg. Unclassified Prescriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$3,800","3,596 ",$831.44,"$3,749.29",$163.63,4.94,$215.66,1.46,$133.81,0.65,$17.80,0.03,$313.14,4.536,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$3,900","3,447 ",$840.07,"$3,849.25",$165.43,4.97,$219.43,1.48,$136.67,0.65,$18.64,0.03,$318.78,4.576,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$4,000","3,267 ",$848.45,"$3,949.66",$167.06,5.00,$223.10,1.50,$139.43,0.66,$19.49,0.03,$324.37,4.616,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$4,100","3,192 ",$856.58,"$4,049.18",$168.75,5.03,$226.82,1.51,$142.10,0.67,$20.38,0.03,$329.80,4.655,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$4,200","3,007 ",$864.47,"$4,149.70",$170.45,5.06,$230.38,1.53,$144.67,0.68,$21.29,0.03,$335.12,4.692,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$4,300","2,999 ",$872.13,"$4,249.68",$172.14,5.09,$234.05,1.55,$147.38,0.69,$22.09,0.04,$340.37,4.728,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$4,400","2,745 ",$879.57,"$4,350.61",$173.67,5.12,$237.38,1.56,$149.93,0.70,$22.95,0.04,$345.69,4.764,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$4,500","2,635 ",$886.80,"$4,449.81",$175.17,5.14,$240.83,1.58,$152.43,0.71,$23.78,0.04,$350.80,4.799,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$4,600","2,525 ",$893.83,"$4,549.16",$176.63,5.17,$244.09,1.59,$154.83,0.72,$24.60,0.04,$355.76,4.832,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$4,700","2,542 ",$900.67,"$4,649.91",$178.04,5.19,$247.43,1.61,$157.22,0.72,$25.50,0.04,$360.56,4.864,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$4,800","2,420 ",$907.31,"$4,749.64",$179.54,5.22,$250.83,1.62,$159.64,0.73,$26.41,0.04,$365.30,4.895,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
