UNFI,NB,UPC,Long Description,12 UPC,Amy's Category,SCH Category,Pack,Size
77627,033-910,42272-00253,Paneer Tikka,0-42272-00253-5,Indian Meals ,Entrée,12,9.5 OZ
77626,033-928,42272-00166,Baked Ziti Bowl,0-42272-00166-8,Bowls,Entrée,12,9.5 OZ
77181,033-522,42272-00241,LIS Black Bean Enchilada,0-42272-00241-2,LIS,Entrée,12,9.5 OZ
73317,033-332,42272-00190,Whole Wheat Cheese & Pesto Pizza,0-42272-00190-3,Pizzas,Pizza,8,14 OZ
DC,DC,42272-00089,Cheese Enchilada Family Size,0-42272-00089-0,Family Size ,Entrée,6,35 OZ
DC,DC,42272-00088,Black Bean Enchilada Family Size,0-42272-00088-3,Family Size ,Entrée,6,35 OZ
73321,033-365,42272-00056,Tofu Rancheros,0-42272-00056-2,Breakfast,Breakfast,12,9 OZ
DC,DC,42272-00038,Vegetable Lasagna Family Size,0-42272-00038-8,Family Size ,Entrée,6,45 OZ
23737,035-555,42272-00404,Fire Roasted Vegetable Salsa,0-42272-00404-1,Salsa,Salsa,6,17.5 OZ
61549,035-790,42272-00561,Curried Lentil Soup,0-42272-00561-1,Soup,Soup,12,14.5 OZ
61548,035-782,42272-00562,Summer Corn & Veg Soup,0-42272-00562-8,Soup,Soup,12,14.5 OZ
61550,035-808,42272-00563,Southwestern Black Bean Chili,0-42272-00563-5,Chili,Chili,12,14.7 OZ
61547,035-816,42272-00719,LIS Tomato Baisl Pasta Sauce,0-42272-00719-6,Pasta Sauce,Pasta Sauce,6,24.5 OZ
72759,035-881,42272-00321,Orange Cake,0-42272-00321-1,Desserts,,12,11 OZ
72760,035-899,42272-00320,Chocolate Cake,0-42272-00320-4,Desserts,,12,11 OZ
72758,035-865,42272-00315,Roasted Vegetable Tamale,0-42272-00315-0,Tamales,,12,10.3 OZ
72757,035-873,42272-00046,Roasted Vegetable Lasagna,0-42272-00046-3,Lasagna,,12,9.8 OZ
70275,,42272-00047,Teriyaki Wrap,0-42272-00047-0,Wraps,,12,5.5 OZ
70276,,42272-00048,Breakfast Wrap,0-42272-00048-7,Wraps,,12,5.5 OZ
72787,,42272-00085,Enchilada Verde Whole Meal,0-42272-00085-2,Whole Meals,,12,10 oz
72786,,42272-00329,Lemon Poppy Seed Cake,0-42272-00329-7,Desserts,,12,11 oz
